make,model,colour,capacity,network,grade,condition
Motorola,"AC ADAPTER C-P37 SPN5940A + CHARGING CABLE + EARPHONES","Brand New","Brand New","Not Applicable",White,"Not Applicable",3
Motorola,"AC ADAPTER C-P58 SPN5950A + CHARGING CABLE + EARPHONES","Brand New","Brand New","Not Applicable",White,"Not Applicable",23
Motorola,"BC50 BATTERY","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
Motorola,C139,BER,"Grade C - Acceptable Condition","Not Applicable",Silver,Damaged,1
Motorola,"DEFY MINI M0C5B",BER,"Grade D","Not Applicable",Black,Unknown,2
Motorola,"Defy Mini xt320","Non-working - Need Battery Cover And Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,65
Motorola,"DROID RAZR M",BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Motorola,E3,Working,"Grade A - Very Good Condition",8GB,Black,O2,5
Motorola,G5,Working,"Grade B - Good Condition",16GB,Black,O2,2
Motorola,Gleam,"Working – Major Screen Burn","Grade D","Not Applicable",Black,Unlocked,2
Motorola,"HOME C118",BER,"Not Graded","Not Applicable",Black,Damaged,10
Motorola,"HOME F3","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,2
Motorola,MB860,Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,1
Motorola,"Moto 360",Working,"Grade B - Good Condition","Not Applicable",Grey,"Not Applicable",362
Motorola,"MOTO 360 2 42MM BLACK LEATHER BAND",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",17
Motorola,"MOTO 360 2ND GEN ",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",288
Motorola,"MOTO 360 2ND GEN - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
Motorola,"MOTO 360 2ND GEN METAL",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Motorola,"MOTO 360 SPORT",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",92
Motorola,"MOTO 360 SPORT SMARTWATCH","Brand New","Brand New","Not Applicable",Black,"Not Applicable",8
Motorola,"MOTO C",Working,"Grade B - Good Condition",16GB,Black,Unlocked,4
Motorola,"MOTO C PLUS","iOS 7 Locked","Grade C - Acceptable Condition",16GB,Black,Damaged,1
Motorola,"Moto E",Working,"Grade B B2B",4GB,Black,Unlocked,10
Motorola,"MOTO E 4TH GEN","Non-working - Need Repair - HardWare",Unknown,16GB,Blue,Damaged,1
Motorola,"MOTO E BACK COVER","Brand New","Brand New","Not Applicable",Aqua,"Not Applicable",10
Motorola,"MOTO E XT1021",Working,"Grade D",4GB,Black,Unlocked,2
Motorola,"MOTO E XT1524",BER,"Grade D",8GB,Black,Unknown,1
Motorola,"MOTO E4 PLUS","Non-working - Need Repair - HardWare",Unknown,16GB,Grey,Damaged,1
Motorola,"MOTO G",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,8
Motorola,"MOTO G 2ND GEN",Working,"Grade B - Good Condition",8GB,Black,Unlocked,1
Motorola,"MOTO G 3RD GEN",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,10
Motorola,"Moto G 5in XT1068","Working - Minor Issue","Grade C - Acceptable Condition",8GB,Black,Unlocked,2
Motorola,"Moto G 8GB",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,1
Motorola,"MOTO G PLAY","Non-working - Need Repair - Software",Unknown,16GB,Black,O2,4
Motorola,"MOTO G3",Working,"Grade B - Good Condition",8GB,Black,Unlocked,2
Motorola,"MOTO G4",Blacklisted,"Grade B - Good Condition",8GB,Black,O2,2
Motorola,"MOTO G4 - 16 GB, 2 GB RAM DUAL SIM","Non-working - Unlock","Grade B - Good Condition",16GB,Black,Tesco-O2,1
Motorola,"MOTO G4 PLAY - BACK COVER","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Motorola,"MOTO G4 PLUS - BACK COVER","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
Motorola,"MOTO G5 XT1675",Working,"Grade A - Very Good Condition",16GB,Blue,Unlocked,1
Motorola,"Moto X","Non-working - DeBrand","Grade B - Good Condition",16GB,Black,Unlocked,1
Motorola,"Moto X (2014)",Working,"Grade C - Acceptable Condition",Unknown,Grey,Unlocked,1
Motorola,"MOTO X STYLE",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Motorola,"Nexus 6",Working,"Grade B - Good Condition",32GB,Black,Unlocked,8
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",706
Motorola,"Razor i XT890",BER,"Grade C - Acceptable Condition",8GB,Black,Unknown,1
Motorola,"SHELL CASE FOR MOTO G 3RD GENERATION",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",83
Motorola,"SPN5841B CHARGER AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Motorola,WX306,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unknown,1
Motorola,"xoom 32gb wifi",Working,"Grade C - Acceptable Condition",32GB,Silver,"Not Applicable",5
Motorola,"XT1095 MOTO G 2ND GEN",Non-working,Unknown,16GB,Black,Unknown,1
MSI,"G31 TM-P35",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",5
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Working,"Grade A - Very Good Condition","Not Applicable",Pink,"Not Applicable",26
NEC,72VN,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",2
NEC,"MULTISYNC 195VXM+",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
NEC,MULTISYNCLCD2170NX,Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
NEST,"LEARNING THERMOSTAT 2ND GEN",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",31
NEST,"LEARNING THERMOSTAT 2ND GEN - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",65
NETGEAR,"AIRCARD 762S",BER,"Grade B - Good Condition","Not Applicable",Black,Unknown,2
NETGEAR,"ORBI WHOLE HOME WIFI SYSTEM RBK50",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",2
NETGEAR,"ORBI WIFI SYSTEM (RBK23)","Brand New","Brand New","Not Applicable",White,"Not Applicable",8
NETGEAR,"WIRED MODEM ROUTER - DG834",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",3
NETZTEIL,"AD8260-2LF CHARGER",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",10
NEXTBIT,ROBIN,"Working – Minor Screen Burn","Grade C - Acceptable Condition",32GB,Black,Unlocked,1
NICOLITES,"MENTHOL FLAVOUR - 16MG/ML - DISPOSABLE - HIGH","Brand New","Brand New","Not Applicable",Black,"Not Applicable",8
NICOLITES,"MENTHOL FLAVOUR 3 PACK CORTOMISERS 16MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",20
NICOLITES,"MINI DISPOSABLE TOBACCO FLAVOUR 16MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",8
NICOLITES,"NICOTINE MED. 11MG/ML - DISPOSABLE - TOBACCO FLAVOUR","Brand New","Brand New","Not Applicable",Black,"Not Applicable",32
NICOLITES,"TOBACCO FLAVOUR - 3 X CARTOMISERS - 600 PUFFS 11MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
NICOLITES,"TOBACCO FLAVOUR 16MG/ML - DISPOSABLE - HIGH","Brand New","Brand New","Not Applicable",Black,"Not Applicable",8
NICOLITES,"TOBACCO FLAVOUR 1XHIGH 1XMED CORTOMISERS 16MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",20
NICOLITES,"TOBACCO FLAVOUR 3 PACK CORTOMISERS 16MG","Brand New","Brand New","Not Applicable",Black,"Not Applicable",14
Nikon,"COOLPIX S3300",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Nikon,"COOLPIX S7000",Working,"Grade B - Good Condition",Unknown,Black,"Not Applicable",1
Nikon,"D300 body with lens",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Nikon,"D3200 DSLR With 18-55mm VR Lens + Tamron 70-300mm Lens",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Nikon,"D5000 DSLR  with 18-55mm VR Lens Kit",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
NOA,"VISION H3SE",BER-Scrap,"Grade D","Not Applicable",White,Damaged,1
Nokia," 103","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Blue,Damaged,2
Nokia," 105",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,108
Nokia," 215 RM-1111",BER,"Grade B - Good Condition","Not Applicable",Black,Unknown,1089
Nokia," 301",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,30
Nokia," C3-01 RM-776",Working,"Grade B - Good Condition","Not Applicable",Silver,Virgin,2
Nokia,"100 RH-130",BER,"Grade C - Acceptable Condition","Not Applicable",Grey,Tesco-Mobile,112
Nokia,101,Working,"Grade B - Good Condition","Not Applicable",Grey,Unlocked,19
Nokia,"101 DUAL SIM",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,6
Nokia,1035,BER,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,9
Nokia,"105 - RM-1134",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,33
Nokia,"105 DUAL SIM - TA1034","Brand New","Brand New",Unknown,Black,Unlocked,342
Nokia,"105 DUAL SIM - TA1034 - FBA SPAIN","Brand New","Brand New",Unknown,Black,Unlocked,258
Nokia,"105 RM-908",Working,"Grade D","Not Applicable",Black,Unlocked,38
Nokia,"105 SINGLE SIM - TA1010","Brand New","Brand New",Unknown,Black,Unlocked,23
Nokia,"105 SINGLE SIM - TA1010 - FBA UK","Brand New","Brand New",Unknown,Black,Unlocked,577
Nokia,"106 RM-962",BER,Unknown,"Not Applicable",Black,Unknown,39
Nokia,106.1,BER,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,9
Nokia,"107 DUAL SIM",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,338
Nokia,"108 RM-944",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,28
Nokia,"108 RM-945",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1419
Nokia,109,Non-working,Unknown,"Not Applicable",Black,Unlocked,69
Nokia,110,BER,"Grade D","Not Applicable",Black,Unknown,2
Nokia,"1100 RH-18",Working,"Grade D","Not Applicable",Black,Unlocked,3
Nokia,1101,Working,"Grade C - Acceptable Condition","Not Applicable",Silver,Unlocked,3
Nokia,1110i,Working,"Grade C - Acceptable Condition","Not Applicable",Silver,Unlocked,4
Nokia,"1112 RH-93",Working,"Grade C - Acceptable Condition","Not Applicable",Blue,Unlocked,4
Nokia,"113 RM-871",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,66
Nokia,1200,"Power On Tested-Broken LCD","Grade D","Not Applicable",Grey,Damaged,1
Nokia,1208,"Non-working - Need Battery Cover And Battery","Grade D","Not Applicable",Grey,NOS-Portugal,105
Nokia,1209,Working,"Grade B - Good Condition","Not Applicable",Blue,Unlocked,50
Nokia,1280,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,7
Nokia,"130 RM-1035",BER,"Grade D","Not Applicable",Black,Damaged,121
Nokia,"130 RM-1037",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1329
Nokia,1600,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,5
Nokia,1616,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,10
Nokia,1650,"Power On Tested-Broken LCD","Grade D","Not Applicable",Beige,Damaged,1
Nokia,1661,"Power On Tested-Broken LCD","Grade D","Not Applicable",Black,Unlocked,4
Nokia,1680,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,2
Nokia,1800,Working,"Grade C - Acceptable Condition","Not Applicable",Gold,Vodafone-Ireland,3
Nokia,203,Working,"Grade C - Acceptable Condition","Not Applicable",Grey,Vodafone-Ireland,1
Nokia,"206 RM-873",Working,"Grade D","Not Applicable",Black,Unlocked,47
Nokia,207,BER,"Grade D","Not Applicable",Black,Unknown,13
Nokia,208,Working,"Grade B B2B","Not Applicable",Black,Unlocked,3
Nokia,208.1,Working,"Grade B - Good Condition","Not Applicable",Black,Vodafone,7
Nokia,210,"Power On Tested-Good LCD",Unknown,"Not Applicable",White,Unlocked,27
Nokia,"210 QWERTY",Working,"Grade A - Very Good Condition","Not Applicable",Yellow,Vodafone,21
Nokia,2110i,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Nokia,"216 RM-1187",Non-working,Unknown,"Not Applicable",Black,Unlocked,13
Nokia,"220 DUAL","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,"220 RM-970",BER,Unknown,"Not Applicable",Black,Unknown,36
Nokia,"220 WHITE",Working,"Grade B - Good Condition","Not Applicable",White,Unlocked,37
Nokia,222,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,195
Nokia,"222 BLACK",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,47
Nokia,"2220 Slide",BER,Unknown,"Not Applicable",Black,Unknown,2
Nokia,"225 DUAL SIM",Working,"Grade B - Good Condition","Not Applicable",Black,Foreign,31
Nokia,"225 RM-1012",Working,"Grade B B2B","Not Applicable",Red,Tesco-Mobile,199
Nokia,2310,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Nokia,"2323 Classic",Working,"Grade D","Not Applicable",Black,Unlocked,11
Nokia,2323C,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Orange,15
Nokia,"2330 Classic",Working,"Grade D","Not Applicable",Silver,O2,2
Nokia,2600,"Working - Minor Issue","Grade D","Not Applicable",Grey,Unlocked,1
Nokia,"2600 Classic",BER,"Grade D","Not Applicable",Black,Damaged,1
Nokia,2610,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unknown,11
Nokia,2626,BER,"Grade D","Not Applicable",Pink,Unknown,1
Nokia,2630,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unknown,7
Nokia,"2680 Slide",Working,"Grade A - Very Good Condition","Not Applicable",Blue,NOS-Portugal,2
Nokia,2690,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",White,Damaged,1
Nokia,"2700 Classic","Power On Tested-Broken LCD","Grade D","Not Applicable",Black,Unlocked,5
Nokia,2720,Working,"Grade C - Acceptable Condition","Not Applicable",Red,Unlocked,1
Nokia,"2720 Fold","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unknown,1
Nokia,2720A-2B,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Nokia,"2730 Classic",Working,"Grade D","Not Applicable",Black,Vodafone-Ireland,29
Nokia,2730C,Working,"Grade D","Not Applicable",Silver,Unlocked,5
Nokia,2760,BER,"Grade D","Not Applicable",Grey,Unknown,1
Nokia,"3 DUAL SIM ",Non-working,Unknown,16GB,Black,Unlocked,6
Nokia,"3 TA-1032",Non-working,Unknown,16GB,Black,Unlocked,4
Nokia,300,Working,"Grade B - Good Condition","Not Applicable",Grey,Eir,25
Nokia,301.1,BER,"Grade D","Not Applicable",Black,NOS-Portugal,17
Nokia,3100,Working,"Grade B - Good Condition","Not Applicable",Blue,Unlocked,1
Nokia,"3109 Classic","Power On Tested-Broken LCD","Grade D","Not Applicable",Grey,Damaged,8
Nokia,"3110 Classic",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Orange,1
Nokia,3120,BER,"Grade C - Acceptable Condition","Not Applicable",Blue,Damaged,1
Nokia,3310,"Non-working - Need Battery","Insurance Grade","Not Applicable","Dark Blue",Unlocked,3
Nokia,3410,Working,"Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,2
Nokia,3510i,"Power On Tested-Broken LCD","Grade D","Not Applicable",Blue,Unknown,1
Nokia,3720,Working,"Grade B - Good Condition","Not Applicable",Yellow,Unlocked,12
Nokia,"3720 Classic",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Nokia,5,Working,"Grade B - Good Condition",16GB,Silver,Unlocked,2
Nokia,500,Working,"Grade A - Very Good Condition",2GB,Black,Unlocked,10
Nokia,5070,"Power On Tested-Good LCD","Grade D","Not Applicable",White,Damaged,1
Nokia,515,Working,"Grade B B2B","Not Applicable",Black,Unlocked,6
Nokia,5230,"Power On Tested-Good LCD","Grade B B2B","Not Applicable",Silver,Unknown,9
Nokia,"5800 XpressMusic","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,"6 32GB","Non-working - Need Repair - HardWare",Unknown,32GB,Black,Unlocked,2
Nokia,6020,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,6021,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Damaged,5
Nokia,"6070 RM-166",Working,"Grade B B2B","Not Applicable",Grey,Unlocked,2
Nokia,6080,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,6131,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Silver,Damaged,1
Nokia,620,"Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,2
Nokia,6210,"Power On Tested-Broken LCD","Grade D","Not Applicable",Grey,Unknown,1
Nokia,6230,Working,"Grade D","Not Applicable",Black,Unlocked,2
Nokia,6230i,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,5
Nokia,6233,BER,"Grade D","Not Applicable",Black,Damaged,1
Nokia,6234,"Power On Tested-Good LCD","Grade D","Not Applicable",Grey,Unlocked,4
Nokia,6288,BER,"Grade D","Not Applicable",Black,Unknown,1
Nokia,6300,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unknown,18
Nokia,6300i,Working,"Grade D",1GB,Silver,Unlocked,1
Nokia,6301,BER,"Grade D","Not Applicable",Black,Orange,5
Nokia,6303,Working,"Grade B - Good Condition","Not Applicable",Grey,Unlocked,5
Nokia,"6303 Classic","Power On Tested-Good LCD","Grade D","Not Applicable",Silver,Unknown,7
Nokia,6303C,Working,"Grade D","Not Applicable",Silver,Unlocked,6
Nokia,"6303i Classic RM-638",Working,"Grade D","Not Applicable",Black,Orange,4
Nokia,6310i,Non-working,Unknown,"Not Applicable",Grey,Unlocked,5
Nokia,635,"Power On Tested-Good LCD","Grade C - Acceptable Condition",8GB,Orange,Damaged,1
Nokia,"6500 Classic","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,2
Nokia,"6500 Slide","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,6610i,BER,"Grade D","Not Applicable",Silver,Damaged,1
Nokia,"6700 Classic",BER,"Grade D","Not Applicable",Black,Orange,6
Nokia,"6700 Slide","Power On Tested-Good LCD","Grade D","Not Applicable",Silver,Damaged,2
Nokia,6822,BER,"Grade D","Not Applicable",Silver,Damaged,1
Nokia,"7 PLUS",Working,"Grade B - Good Condition",64GB,Black,Unlocked,1
Nokia,700,BER,"Grade D","Not Applicable",Grey,Unlocked,19
Nokia,"7100 supernova",Working,"Grade C - Acceptable Condition",1GB,Pink,Unlocked,1
Nokia,7230,"Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,16
Nokia,7373,BER,"Grade D","Not Applicable",Pink,Unknown,1
Nokia,8,Working,"Grade A - Very Good Condition",64GB,Blue,Unlocked,1
Nokia,9000,BER,"Grade D","Not Applicable",Black,Unknown,1
Nokia,954,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Vodafone,1
Nokia,"AC-60X UNIVERSAL FAST MICRO USB CHARGER 1.5 AMP","Brand New","Brand New","Not Applicable",Black,"Not Applicable",37
Nokia,"ASHA 200",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Nokia,"ASHA 200 DUAL SIM",Working,"Grade B - Good Condition","Not Applicable",Blue,Unlocked,7
Nokia,"ASHA 201 BACK COVER","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Nokia,"Asha 201 RM-799","Brand New","Insurance Grade","Not Applicable",White,Tesco-Mobile,22
Nokia,"ASHA 202 DUAL SIM",BER,"Grade D","Not Applicable",Black,NOS-Portugal,4
Nokia,"Asha 203",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,9
Nokia,"asha 205",Working,"Grade D","Not Applicable",Orange,Unlocked,2
Nokia,"ASHA 205 DUAL SIM","Brand New","Brand New","Not Applicable","ORANGE WHITE",Unlocked,55
Nokia,"Asha 206",Working,"Grade D","Not Applicable",Black,Unlocked,18
Nokia,"ASHA 210 RM-929",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,26
Nokia,"ASHA 210 RM-929 AZERTY",Working,"Grade B - Good Condition","Not Applicable",White,Unlocked,20
Nokia,"Asha 300",Working,"Grade D","Not Applicable",Black,"EE Network",73
Nokia,"Asha 301 RM-840",Working,"Grade B B2B","Not Applicable",Black,Tesco-Mobile,34
Nokia,"Asha 302",Working,"Grade B B2B","Not Applicable",Grey,Unlocked,31
Nokia,"asha 303","Non-working - Need Repair - Software",Unknown,"Not Applicable",Grey,Damaged,8
Nokia,"Asha 306",Working,"Grade B B2B","Not Applicable",Red,Unlocked,8
Nokia,"ASHA 308 DUAL SIM","Brand New","Brand New","Not Applicable",Black,Unlocked,92
Nokia,"ASHA 309","Brand New","Brand New","Not Applicable",Black,Unlocked,5
Nokia,"Asha 311",Working,"Grade C - Acceptable Condition",256MB,Black,Unlocked,26
Nokia,"ASHA 501","Power On Tested-Good LCD","Grade A - Very Good Condition",128MB,Blue,Unlocked,5
Nokia,"Asha 503","Power On Tested-Good LCD","Grade D","Not Applicable",Black,Unknown,333
Nokia,"ASHA 503 - FBA FRANCE","Brand New","Brand New","Not Applicable",White,Unlocked,4
Nokia,"ASHA 503 - FBA GERMANY","Brand New","Brand New","Not Applicable",White,Unlocked,5
Nokia,"ASHA 503 - FBA ITALY","Brand New","Brand New","Not Applicable",White,Unlocked,1
Nokia,"ASHA 503 - FBA SPAIN","Brand New","Brand New","Not Applicable",White,Unlocked,2
Nokia,"BATTERY LUMIA 920",Non-working,Unknown,32GB,Black,Unlocked,2
Nokia,"BATTERY NOKIA BL-4J","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Nokia,BH-104,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Nokia,"BLUETOOTH CAR KIT - CARK-112","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
Nokia,c1-00,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,3
Nokia,C1-01,Working,Unknown,"Not Applicable",Grey,Unknown,6
Nokia,C1-02,Working,"Grade D","Not Applicable",Black,"EE Network",59
Nokia,C2-00,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,"C2-00 DUAL SIM",Working,"Not Graded","Not Applicable",Black,NOS-Portugal,2
Nokia,C2-01,"Working - Minor Issue","Grade D","Not Applicable",Black,Unlocked,49
Nokia,C2-02,Working,"Not Graded","Not Applicable",Black,NOS-Portugal,5
Nokia,C2-05,"Brand New","Insurance Grade","Not Applicable",Black,NOS-Portugal,26
Nokia,C3,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Grey,Damaged,1
Nokia,"C3-00 RM-614",Working,"Grade D","Not Applicable",Blue,Unlocked,6
Nokia,C5,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,8
Nokia,C5-00,BER,"Grade D","Not Applicable",Black,Damaged,14
Nokia,C5-00.2,Working,"Grade A - Very Good Condition","Not Applicable",Grey,Vodafone-Ireland,7
Nokia,c5-03,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,10
Nokia,C7-00,"Power On Tested-Good LCD","Grade D",8GB,Black,Unlocked,15
Nokia,"CAMERA GRIP PD-95G ","Brand New","Brand New","Not Applicable",Black,"Not Applicable",4
Nokia,"CAR CHARGER - DC-4","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",5
Nokia,"CAR KIT - CK-300",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",2
Nokia,"COLOUD BANG MINI RECHARGEABLE SPEAKER - MD-1C","Brand New","Brand New","Not Applicable",Orange,"Not Applicable",15
Nokia,"COLOUD THE BOOM HEADPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",7
Nokia,"DT-19 STAND CHARGER ",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
Nokia,E5,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Damaged,11
Nokia,E5-00,Working,"Grade A - Very Good Condition","Not Applicable",Grey,Unlocked,12
Nokia,"E5-00 AZERTY",Working,"Grade B - Good Condition","Not Applicable",Grey,Unlocked,1
Nokia,E51,Working,"Grade C - Acceptable Condition","Not Applicable",Silver,Unlocked,21
Nokia,"E51 With Camera",Working,"Grade D","Not Applicable",Black,Orange,5
Nokia,E52,Working,"Grade C - Acceptable Condition",1GB,Silver,Unlocked,6
Nokia,E6-00,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,5
Nokia,E63,"Non-working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable",Blue,Unlocked,2
Nokia,E66,Working,"Grade D","Not Applicable",Grey,Unlocked,1
Nokia,E7-00,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,5
Nokia,E71,Non-working,Unknown,"Not Applicable",Grey,"Not Applicable",3
Nokia,"E71 AZERTY",Working,"Insurance Grade","Not Applicable",Grey,Unlocked,12
Nokia,"E71 QWERTY","Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
Nokia,E72,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,13
Nokia,"FAST CHARGING CABLE CA-190CD",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",22
Nokia,"Lumia 1020",Working,"Grade C - Acceptable Condition",32GB,White,Unlocked,22
Nokia,"Lumia 1320",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,49
Nokia,"Lumia 1520",BER,Unknown,32GB,White,Unknown,11
Nokia,"LUMIA 2520",Non-working,Unknown,32GB,Black,Damaged,7
Nokia,"lumia 435",Working,"Grade B - Good Condition",8GB,Black,Unlocked,137
Nokia,"Lumia 510 RM-889",Working,"Grade A - Very Good Condition",4GB,Cyan,Unlocked,11
Nokia,"Lumia 520",Non-working,"Grade D","Not Applicable",Black,Unknown,128
Nokia,"Lumia 530 RM-1017",Working,"Grade B - Good Condition","Not Applicable",Grey,Unlocked,326
Nokia,"LUMIA 535",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,9
Nokia,"LUMIA 550",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,28
Nokia,"Lumia 610",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,16
Nokia,"Lumia 620",Non-working,Unknown,8GB,Black,Unknown,59
Nokia,"Lumia 625",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,146
Nokia,"LUMIA 625 BP-4GWA","Working – Major Screen Burn","Grade C - Acceptable Condition",8GB,Black,"EE Network",1
Nokia,"Lumia 630 RM-976",Working,"Grade A - Very Good Condition","Not Applicable",Green,Unlocked,357
Nokia,"LUMIA 630 RM-978 DUAL SIM",Non-working,Unknown,8GB,Black,Damaged,1
